"price","weight","x"
2015,0.76,5.7
4469,0.9,6.21
13899,1.5,7.2
531,0.31,4.24
6364,1.5,7.15
3105,1.52,7.53
3522,0.96,6.52
619,0.3,4.24
981,0.41,4.66
2890,0.8,5.87
4700,1.09,6.61
2444,0.78,5.8
428,0.23,3.94
2372,0.85,6.01
13819,1.51,7.18
4466,1,6.32
3454,0.96,6.51
14251,2.51,8.87
1338,0.52,5.12
4563,1.01,6.24
1374,0.5,5.05
3398,0.9,6.07
2298,0.57,5.49
12546,1.6,7.59
1712,0.56,5.36
945,0.4,4.82
4989,1.5,7.22
3730,0.91,6.09
4119,0.9,6.1
5871,1.68,7.48
1033,0.53,5.14
503,0.41,4.69
5251,1.33,7.3
6189,1,6.33
3453,0.9,6.15
16294,2.09,8.37
3153,0.9,6.07
3290,0.91,6.18
2437,0.5,5.04
3740,0.9,6.13
777,0.44,4.97
6328,1,6.28
9281,1.5,7.31
1581,0.67,5.54
1107,0.5,5.02
4154,1.09,6.58
13275,1.51,7.28
17608,2.52,8.57
707,0.31,4.3
877,0.5,4.97
1395,0.5,5.12
1948,0.7,5.77
1210,0.5,5.02
3923,1.01,6.35
11212,1.51,7.1
876,0.41,4.74
507,0.34,4.42
1668,0.61,5.48
4646,1,6.28
11554,2.01,7.95
619,0.32,4.32
571,0.31,4.25
6058,1.02,6.38
1060,0.51,5.38
2398,0.67,5.46
4020,0.97,6.24
756,0.44,4.81
2753,0.74,5.71
4712,1.02,6.41
4705,1.03,6.57
14148,1.51,7.35
2801,0.71,5.9
3316,0.84,5.98
10416,2,7.87
3796,0.91,6.06
2244,0.67,5.55
638,0.41,4.72
3051,1.02,6.31
4604,1.02,6.36
14266,2.16,8.18
4190,0.9,6.3
4081,1,6.28
4234,0.96,6.53
1063,0.45,4.86
533,0.31,4.29
676,0.41,4.91
1214,0.57,5.4
1013,0.4,4.86
641,0.34,4.5
3312,0.84,5.94
1426,0.49,4.95
524,0.26,4.03
3936,0.92,6.31
11522,2.19,8.23
6966,1.56,7.6
2447,0.76,6.05
568,0.3,4.26
2278,0.85,6.17
1336,0.58,5.48
2450,0.71,5.69
3250,0.83,5.95
2311,0.83,5.97
4072,1.01,6.37
722,0.42,4.75
14350,2.28,8.35
1554,0.52,5.08
678,0.3,4.23
2159,0.7,5.63
11716,1.59,7.39
14285,2.22,8.23
3816,0.9,6.04
3425,1.04,6.47
3115,0.7,5.69
1806,0.46,5.12
607,0.31,4.27
6352,1,6.26
5309,1.01,6.29
1813,0.51,5.24
567,0.33,4.38
3411,1.01,6.31
4187,0.9,6.06
6159,1.01,6.2
4790,0.94,6.25
11756,2.19,8.23
14654,1.51,7.18
603,0.3,4.32
16565,2.02,8.08
895,0.3,4.26
679,0.26,4.06
1783,0.71,5.91
588,0.35,4.49
1434,0.51,5
4961,1,6.55
3512,1.01,6.36
4255,1.26,6.78
570,0.41,4.7
2390,0.71,5.63
6543,1.03,6.35
12787,1.5,7.24
2386,0.78,5.82
3785,0.92,6.28
9368,1.52,7.18
7250,1.07,6.49
4185,1.01,6.41
6443,1.3,7.27
5700,1.01,6.48
2242,0.7,5.62
4121,1.01,6.34
1922,0.7,5.63
532,0.26,4.05
2225,0.91,6.3
4617,0.9,6.07
5443,1.01,6.34
12283,1.52,7.58
3773,1.02,6.54
3283,0.8,5.77
1736,0.56,5.34
1924,0.68,5.59
1424,0.51,5.14
1906,0.64,5.43
4493,1,6.36
3584,0.9,6.05
1397,0.5,5.03
2258,0.67,5.53
1056,0.39,4.82
4540,0.9,6.09
4389,1,6.24
2258,0.71,5.64
3312,0.96,6.27
11954,2.01,7.91
2573,0.71,5.64
3895,1.01,6.33
4719,1.01,6.35
417,0.3,4.26
11851,1.46,7.06
447,0.34,4.46
1041,0.39,4.71
3649,0.92,6.17
7727,1.5,7.19
5420,1,6.27
3115,0.9,6
3348,0.9,6.11
742,0.4,4.67
4295,1,6.61
1893,0.62,5.37
1917,0.5,4.97
869,0.4,4.67
4493,0.9,6.1
2277,0.72,5.63
478,0.23,3.83
5600,1,6.23
8831,1.71,7.48
15587,2.01,8.14
5429,1.31,6.9
914,0.48,4.84
7068,1.02,6.35
2189,0.8,5.86
3489,0.9,6.04
12467,1.6,7.38
4732,1,6.4
733,0.38,4.75
2274,0.71,5.66
430,0.31,4.35
12833,1.7,7.48
4443,0.84,6.06
2578,0.72,5.69
3445,0.91,6.16
7989,1.19,6.96
6440,1,6.26
4791,1.04,6.42
840,0.4,4.75
628,0.31,4.33
1806,0.52,5.14
3806,0.9,6.14
2114,0.68,5.68
2007,0.67,5.61
1554,0.6,5.37
4636,1.2,6.85
2604,0.7,5.63
725,0.41,4.75
3105,0.9,6.31
616,0.37,4.56
3301,0.9,6.17
2996,0.88,6.11
2001,0.72,5.67
712,0.42,4.83
651,0.31,4.29
1035,0.4,4.7
4583,1.02,6.56
11130,1.24,6.88
1665,0.54,5.26
4586,0.91,6.14
3888,1.01,6.37
18430,1.74,7.65
2079,0.52,5.18
1129,0.54,5.17
4604,1.02,6.54
2346,0.71,5.64
729,0.43,4.87
1117,0.58,5.26
3980,1.02,6.42
698,0.34,4.55
5294,1.01,6.38
491,0.3,4.38
792,0.43,4.8
5713,1.01,6.38
450,0.3,4.3
618,0.32,4.4
7710,1,6.49
8644,1.35,6.95
7207,1.04,6.45
4419,1,6.32
5542,1.01,6.37
6773,1.01,6.39
4661,0.94,6.24
605,0.3,4.3
2200,0.7,5.67
2682,0.7,5.63
5977,1.02,6.38
3593,0.82,6.02
907,0.31,4.32
449,0.24,4
16485,1.52,7.33
6315,1,6.25
2042,0.7,5.64
2649,0.71,5.69
15618,2.01,7.86
662,0.38,4.73
4515,0.9,6.15
2138,0.74,5.72
3780,1.04,6.39
4190,1.04,6.35
10662,2.22,8.33
4369,0.9,6.1
6996,1.56,7.64
5601,1.29,6.8
3789,1,6.3
4166,1.01,6.57
15025,2,7.98
17759,2.01,8.14
4665,0.86,6.05
2227,0.69,5.83
12915,2.02,7.98
4456,1.11,6.66
4462,1.24,6.85
2411,0.61,5.36
6563,1.01,6.42
414,0.23,3.94
3993,0.74,5.78
5515,1.08,6.47
1605,0.52,5.15
1219,0.52,5.14
1164,0.46,4.91
4325,0.93,6.32
591,0.27,4.14
976,0.43,4.84
11776,1.52,7.39
1089,0.4,4.74
1013,0.3,4.31
2343,0.7,5.73
3584,0.9,6.14
4463,0.9,6.3
5544,1,6.34
561,0.32,4.42
5562,1.18,6.8
2258,0.71,5.72
7127,1.01,6.39
2117,0.7,5.64
4137,1.02,6.47
1743,0.55,5.2
4283,1.11,6.59
4849,0.91,6.1
3217,0.71,5.73
13825,2.04,8.04
921,0.42,4.85
4537,1.1,6.54
2517,0.76,5.78
4800,1.03,6.48
4282,1.03,6.41
4012,0.91,6.12
2316,0.78,5.85
3429,0.78,5.86
823,0.41,4.83
2264,0.74,5.78
4868,1.01,6.57
5654,1.01,6.28
477,0.32,4.35
3774,1.29,7.11
5551,1.09,6.61
2137,0.71,5.72
1599,0.6,5.39
3897,1.01,6.38
12014,1.5,7.39
903,0.43,4.79
6818,1,6.21
2477,0.72,5.71
16092,2,8.11
2453,0.7,5.7
2618,0.93,6.18
5612,1.31,6.97
2113,0.52,5.19
2964,0.71,5.68
748,0.32,4.44
8438,1.24,6.94
682,0.27,4.14
3510,0.9,6.11
3689,0.9,6.17
6464,1.14,6.64
1323,0.52,5.08
6105,1.01,6.34
5221,1.2,6.67
16389,2.04,8.26
378,0.23,3.93
4867,1,6.37
3126,0.57,5.27
3618,0.92,6.34
3162,0.9,6.1
10020,1.26,6.95
7915,1.51,7.25
2206,0.71,5.68
401,0.26,4.15
3998,1.01,6.32
15086,2.03,8.01
7312,1.27,7.11
600,0.29,4.33
5778,1.02,6.33
629,0.3,4.32
1105,0.45,4.89
5009,1,6.37
1289,0.5,5.02
7487,1.01,6.46
504,0.27,4.12
9139,1,6.54
7906,1.21,6.96
552,0.27,4.15
609,0.29,4.29
2278,0.77,5.85
4666,1.01,6.54
798,0.42,4.78
4846,1.01,6.39
7549,1.35,7.06
18507,2.03,8.07
1577,0.52,5.13
2046,0.58,5.33
3170,0.76,5.84
5836,1.24,6.82
2925,0.8,6.07
3335,0.95,6.38
3734,0.9,6.07
1847,0.52,5.11
4697,0.9,6.05
1009,0.42,4.87
2434,0.73,5.82
1057,0.52,5.1
8706,1.51,7.29
1331,0.31,4.33
13953,1.25,6.96
1636,0.53,5.24
499,0.3,4.31
413,0.3,4.31
2419,0.51,5.25
941,0.38,4.63
18705,2.01,8.08
3394,1.01,6.34
4395,1.09,6.63
3507,1.01,6.47
720,0.32,4.39
1637,0.54,5.26
688,0.23,4.03
2706,0.76,5.88
4270,1.01,6.48
3450,0.77,5.94
13182,2.03,8.12
1709,0.51,5.1
12987,2,8.15
3045,0.72,5.76
4126,1.07,6.62
2089,0.77,5.96
4953,1,6.4
10929,1.36,7.23
2887,0.7,5.66
1076,0.41,4.75
2942,0.76,5.84
4779,1.01,6.43
17053,2.32,8.48
3414,0.91,6.26
894,0.39,4.69
3084,0.81,5.95
4989,1.01,6.39
2398,0.71,5.7
5219,1.09,6.63
966,0.4,4.76
4451,0.92,6.24
724,0.43,4.8
3136,0.8,6.09
4468,1.01,6.53
2369,0.77,5.95
11149,1.55,7.44
1881,0.55,5.3
4390,1.12,6.77
2723,0.74,5.8
2297,0.71,5.8
2262,0.72,5.78
2765,0.71,5.69
7351,1.02,6.39
4404,1.21,6.91
533,0.32,4.42
411,0.23,4.06
2716,0.82,6.03
7389,1.53,7.41
1103,0.56,5.42
11194,1.5,7.32
1229,0.45,4.85
6363,1.19,6.91
11760,1.51,7.27
1295,0.41,4.72
15398,2.04,8.04
2797,0.71,5.67
1212,0.57,5.33
576,0.32,4.41
8810,1.23,6.95
4059,0.96,6.32
16336,2.11,8.19
18117,2.02,8.18
891,0.44,4.9
10609,1.43,7.18
8216,1.52,7.36
7171,1.33,6.98
1439,0.58,5.42
4072,1.01,6.45
3216,1.1,6.77
6733,1.01,6.43
11113,1.57,7.61
1712,0.53,5.15
3899,1.01,6.39
10350,1.61,7.53
1125,0.4,4.76
8969,1.54,7.42
13540,2.14,8.37
4103,0.9,6.11
872,0.31,4.39
10018,1.21,6.81
4437,1.15,6.7
7274,1.2,6.86
6588,1.2,7.02
762,0.33,4.52
16985,2.02,8.06
4853,1.01,6.49
936,0.39,4.75
6763,1.22,6.76
6098,1.1,6.75
3142,1,6.55
899,0.41,4.73
4818,1.02,6.38
939,0.34,4.52
4677,0.9,6.13
3392,1.04,6.65
12308,2,7.97
1720,0.54,5.31
7816,1.22,6.85
1208,0.3,4.29
1892,0.54,5.27
1778,0.56,5.36
1133,0.31,4.39
15392,2.07,8.35
16820,2.48,8.83
2042,0.7,5.77
15498,2.02,8.15
11007,1.5,7.38
5723,1.4,7.26
2613,0.71,5.68
8219,1.12,6.91
4303,1.09,6.79
13069,2.11,8.25
5429,1.02,6.45
6931,1.3,6.97
11380,1.58,7.58
11021,1.2,6.83
1614,0.51,5.2
9081,1.54,7.47
7130,1.19,6.82
10401,2.01,8.18
1327,0.38,4.66
926,0.32,4.37
835,0.6,5.33
471,0.31,4.36
6552,1,6.54
15151,1.73,7.72
10530,1.29,7.01
394,0.21,3.84
11370,1.53,7.47
1356,0.54,5.27
12238,1.75,7.78
658,0.3,4.31
1094,0.33,4.54
945,0.4,4.72
1064,0.38,4.81
4775,1.01,6.35
5556,1.21,6.65
851,0.3,4.3
4452,1,6.39
5588,1.32,7.01
7817,1.41,7.21
15253,1.51,7.52
4666,1.24,6.94
866,0.33,4.49
10389,1.27,7.01
576,0.25,4.09
4064,0.9,6.18
11108,2,8.07
576,0.32,4.42
5107,1.26,6.92
5455,1.02,6.58
12179,1.5,7.31
2648,0.74,5.81
11484,1.5,7.31
5583,1.24,6.84
3266,0.81,5.96
3869,0.94,6.27
5923,1.01,6.41
662,0.3,4.44
5557,1.05,6.55
3911,0.97,6.56
1775,0.5,5.09
3574,1.15,6.8
7852,1.04,6.51
4793,0.93,6.21
1443,0.51,5.12
1806,0.7,5.81
7106,1.41,7.41
889,0.39,4.68
1333,0.4,4.68
2753,0.76,5.93
1369,0.54,5.36
1356,0.41,4.79
4270,1.15,6.71
874,0.32,4.37
3758,0.94,6.37
13437,2.08,8.15
853,0.33,4.49
1980,0.55,5.35
7848,1.54,7.52
8454,1.09,6.74
2171,0.67,5.65
12655,1.51,7.58
900,0.5,5.23
1783,0.53,5.14
9282,1.25,7.01
4452,1.06,6.52
3735,1.15,6.82
787,0.39,4.68
2757,0.86,6.15
2184,0.7,5.74
3312,0.8,5.89
4496,1,6.34
14949,1.82,7.81
382,0.26,4.07
4959,1.15,6.86
740,0.25,4.08
3108,0.74,5.77
1814,0.47,4.99
2731,0.72,5.69
9712,1.06,6.63
6488,1.24,6.9
3500,0.83,6.04
5046,1.12,6.68
518,0.37,4.64
7805,1.01,6.42
4769,1.03,6.49
598,0.4,4.72
3121,0.86,6.1
506,0.3,4.4
3451,0.7,5.7
9636,0.91,6.18
1043,0.4,4.77
3210,0.8,5.95
1406,0.56,5.33
687,0.24,3.92
15857,2.05,8.21
1584,0.43,4.81
657,0.26,4.07
1202,0.44,4.91
1173,0.54,5.24
2548,0.73,5.87
438,0.34,4.5
2117,0.56,5.33
3167,0.71,5.72
12081,1.22,6.86
1226,0.52,5.22
4816,1.05,6.54
3540,0.71,5.8
15821,1.51,7.32
3334,0.72,5.75
3615,0.73,5.81
5443,1.24,6.84
427,0.33,4.44
14957,1.56,7.46
2145,0.71,5.72
745,0.4,4.78
1684,0.5,5.08
1422,0.54,5.22
3514,0.81,5.92
12821,1.5,7.32
7119,1.03,6.45
9533,1.5,7.24
1279,0.5,5.11
3111,0.8,5.89
8085,1.23,6.83
5880,1,6.54
5751,1.01,6.56
1150,0.4,4.78
876,0.37,4.59
5163,1.18,6.77
725,0.4,4.76
6783,1.25,6.9
720,0.34,4.52
1397,0.38,4.66
790,0.32,4.41
1031,0.38,4.64
1871,0.55,5.31
737,0.38,4.67
497,0.28,4.21
599,0.4,4.68
5444,1.07,6.62
4007,0.75,5.77
3097,0.52,5.19
956,0.35,4.56
3708,0.72,5.75
4423,1.35,7.17
7240,1.01,6.57
1062,0.43,4.87
8024,1.02,6.45
5761,1.35,7.05
1940,0.7,5.71
1273,0.42,4.84
3931,0.9,6.24
1063,0.35,4.53
713,0.32,4.42
2154,0.74,5.77
1064,0.43,4.87
8400,1.11,6.62
14802,2.14,8.28
4801,1.04,6.49
7847,1.51,7.44
3082,0.8,6.05
4258,0.92,6.25
9483,1.05,6.55
1570,0.4,4.7
1129,0.51,5.16
1409,0.54,5.25
1567,0.54,5.22
4469,1.04,6.51
2092,0.7,5.65
672,0.32,4.41
8915,1.27,6.89
2482,0.81,5.95
5055,1.02,6.38
1213,0.41,4.78
6078,1.08,6.62
2844,1.01,6.45
6616,1.1,6.76
1332,0.5,5.1
1054,0.53,5.16
4788,0.9,6.19
555,0.34,4.47
2553,0.8,5.97
1019,0.52,5.17
1990,0.53,5.2
4200,1.04,6.53
2224,0.55,5.3
1160,0.5,5.17
3172,1.03,6.43
2616,0.7,5.72
3319,0.7,5.73
9315,1.53,7.37
844,0.53,5.22
1207,0.43,4.85
2761,0.74,5.77
1041,0.37,4.65
1124,0.37,4.63
2053,0.56,5.27
5207,0.77,5.83
3154,0.58,5.34
803,0.33,4.48
1848,0.55,5.21
1615,0.54,5.27
830,0.35,4.51
586,0.23,3.94
722,0.41,4.8
5075,1.14,6.71
5253,1.06,6.54
2259,0.57,5.33
636,0.36,4.61
11074,1.11,6.56
9257,1.05,6.55
4200,1,6.45
4047,0.72,5.77
3774,0.8,6.02
5991,1.16,6.71
7589,1.21,6.82
688,0.32,4.36
10869,1.55,7.43
2383,0.7,5.73
1878,0.52,5.18
6633,1.4,7.17
2109,0.6,5.49
8226,1.25,6.98
2250,0.53,5.17
1105,0.41,4.72
507,0.31,4.33
640,0.31,4.35
1847,0.52,5.17
2356,0.54,5.28
10445,1.23,6.89
2469,0.7,5.67
5765,1.2,6.95
2257,0.77,5.8
984,0.5,5.08
16147,2.19,8.26
6558,1.07,6.58
969,0.41,4.85
2441,0.52,5.19
8701,1.03,6.46
7806,1.21,6.87
525,0.29,4.26
639,0.41,4.79
1819,0.54,5.18
734,0.31,4.35
9694,1.12,6.68
2985,0.75,5.82
1196,0.44,4.92
4950,0.98,6.37
916,0.3,4.27
6982,1.11,6.68
1205,0.53,5.18
792,0.4,4.72
2447,0.57,5.29
8639,1.17,6.76
3148,0.77,5.9
14775,1.74,7.68
6727,1.21,6.82
2068,0.72,5.73
658,0.38,4.7
697,0.38,4.7
2058,0.72,5.74
10812,1.2,6.82
684,0.31,4.39
6024,1.01,6.49
3229,0.71,5.72
348,0.3,4.31
587,0.27,4.2
815,0.29,4.25
12725,1.5,7.34
6139,1.17,6.86
1454,0.54,5.25
3033,0.73,5.76
6648,1.07,6.53
1720,0.52,5.17
13140,1.6,7.55
6732,1.02,6.38
